MoleculeType	Identifier	MoleculeName	
Proteins	Q96H20	UniProt:Q96H20 SNF8	
Proteins	Q86VN1	UniProt:Q86VN1 VPS36	
Proteins	Q9UIQ6	UniProt:Q9UIQ6 LNPEP	
Proteins	O60343	UniProt:O60343 TBC1D4	
Proteins	O95487	UniProt:O95487 SEC24B	
Proteins	O94979	UniProt:O94979 SEC31A	
Proteins	O94855	UniProt:O94855 SEC24D	
Proteins	P55735	UniProt:P55735 SEC13	
Proteins	O95486	UniProt:O95486 SEC24A	
Proteins	P53992	UniProt:P53992 SEC24C	
Proteins	Q15436	UniProt:Q15436 SEC23A	
Proteins	P02794	UniProt:P02794 FTH1	
Proteins	P02792	UniProt:P02792 FTL	
Proteins	Q8NBS9	UniProt:Q8NBS9 TXNDC5	
Proteins	Q9UEW3	UniProt:Q9UEW3 MARCO	
Proteins	Q9UN37	UniProt:Q9UN37 VPS4A	
Proteins	O75351	UniProt:O75351 VPS4B	
Proteins	Q9NZZ3	UniProt:Q9NZZ3 CHMP5	
Proteins	Q9NP79	UniProt:Q9NP79 VTA1	
Proteins	O75843	UniProt:O75843 AP1G2	
Proteins	P48165	UniProt:P48165 GJA8	
Proteins	Q969M2	UniProt:Q969M2 GJA10	
Proteins	P57773	UniProt:P57773 GJA9	
Proteins	O75712	UniProt:O75712 GJB3	
Proteins	Q8N144	UniProt:Q8N144 GJD3	
Proteins	Q9Y6H8	UniProt:Q9Y6H8 GJA3	
Proteins	Q96KN9	UniProt:Q96KN9 GJD4	
Proteins	Q5T442	UniProt:Q5T442 GJC2	
Proteins	P36383	UniProt:P36383 GJC1	
Proteins	Q9NTQ9	UniProt:Q9NTQ9 GJB4	
Proteins	Q9UKL4	UniProt:Q9UKL4 GJD2	
Proteins	P35212	UniProt:P35212 GJA4	
Proteins	Q6PEY0	UniProt:Q6PEY0 GJB7	
Proteins	O95377	UniProt:O95377 GJB5	
Proteins	P36382	UniProt:P36382 GJA5	
Proteins	O95452	UniProt:O95452 GJB6	
Proteins	P16671	UniProt:P16671 CD36	
Proteins	P98082	UniProt:P98082 DAB2	
Proteins	P09496	UniProt:P09496 CLTA	
Proteins	P09497	UniProt:P09497 CLTB	
Proteins	P53675	UniProt:P53675 CLTCL1	
Proteins	Q00610	UniProt:Q00610 CLTC	
Proteins	Q96CW1	UniProt:Q96CW1 AP2M1	
Proteins	Q9NUP1	UniProt:Q9NUP1 BLOC1S4	
Proteins	Q5HYK7	UniProt:Q5HYK7 SH3D19	
Proteins	Q14671	UniProt:Q14671 PUM1	
Proteins	P02768	UniProt:P02768 ALB	
Proteins	Q8WWQ8	UniProt:Q8WWQ8 STAB2	
Proteins	O00159	UniProt:O00159 MYO1C	
Proteins	P11233	UniProt:P11233 RALA	
Proteins	P62158	UniProt:P62158 CALM1	
Proteins	Q9UL45	UniProt:Q9UL45 BLOC1S6	
Proteins	Q5SYC1	UniProt:Q5SYC1 CLVS2	
Proteins	Q8IUQ0	UniProt:Q8IUQ0 CLVS1	
Proteins	Q6QNY0	UniProt:Q6QNY0 BLOC1S3	
Proteins	O00161	UniProt:O00161 SNAP23	
Proteins	Q12846	UniProt:Q12846 STX4	
Proteins	Q96PL1	UniProt:Q96PL1 SCGB3A2	
